tag,id,name,classes,text,xpath
"div","","","product-image-wrapper","Rs. 500
											Blue Top
											Add to cart
										
										
											
												Rs. 500
												Blu","/html/body/section[2]/div/div/div[2]/div/div[2]/div"
"div","","","single-products","Rs. 500
											Blue Top
											Add to cart
										
										
											
												Rs. 500
												Blu","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div"
"div","","","productinfo text-center","Rs. 500
											Blue Top
											Add to cart","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div/div"
"div","","","product-overlay","Rs. 500
												Blue Top
												Add to cart","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div/div[2]"
"div","","","overlay-content","Rs. 500
												Blue Top
												Add to cart","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div/div[2]/div"
"div","","","choose","View Product","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div[2]"
"div","","","col-sm-4","Rs. 400
											Men Tshirt
											Add to cart
										
										
											
												Rs. 400
												M","/html/body/section[2]/div/div/div[2]/div/div[3]"
"div","","","product-image-wrapper","Rs. 400
											Men Tshirt
											Add to cart
										
										
											
												Rs. 400
												M","/html/body/section[2]/div/div/div[2]/div/div[3]/div"
"div","","","single-products","Rs. 400
											Men Tshirt
											Add to cart
										
										
											
												Rs. 400
												M","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div"
"div","","","productinfo text-center","Rs. 400
											Men Tshirt
											Add to cart","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div/div"
"div","","","product-overlay","Rs. 400
												Men Tshirt
												Add to cart","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div/div[2]"
"div","","","overlay-content","Rs. 400
												Men Tshirt
												Add to cart","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div/div[2]/div"
"div","","","choose","View Product","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div[2]"
"div","","","col-sm-4","Rs. 1000
											Sleeveless Dress
											Add to cart
										
										
											
												Rs. 1000
					","/html/body/section[2]/div/div/div[2]/div/div[4]"
